constituency,ward
Aldai,Kemeloi-Maraba
Aldai,Kobujoi
Aldai,Kaptumo-Kaboi
Aldai,Koyo-Ndurio
Nandi Hills,Nandi Hills
Nandi Hills,Chepkunyuk
Nandi Hills,Ol'Lessos
Nandi Hills,Kapchorua
Chesumei,Chemundu/Kapng'etuny
Chesumei,Kosirai
Chesumei,Lelmokwo/Ngechek
Chesumei,Kaptel/Kamoiywo
Chesumei,Kiptuya
Emgwen,Chepkumia
Emgwen,Kapkangani
Emgwen,Kapsabet
Emgwen,Kilibwoni
Mosop,Chepterwai
Mosop,Kipkaren
Mosop,Kurgung/Surungai
Mosop,Kabiyet
Mosop,Ndalat
Mosop,Kabisaga
Mosop,Sangalo/Kebulonik
Tiaty,Tirioko
Tiaty,Kolowa
Tiaty,Ribkwo
Tiaty,Silale
Tiaty,Loiyamorock
Tiaty,Tangulbei/Korossi
Tiaty,Churo/Amaya
Baringo North,Barwessa
Baringo North,Kabartonjo
Baringo North,Saimo/Kipsaraman
Baringo North,Saimo/Soi
Baringo North,Bartabwa
Baringo Central,Kabarnet
Baringo Central,Sacho
Baringo Central,Tenges
Baringo Central,Ewalel/Chapchap
Baringo Central,Kapropita
Baringo South,Marigat
Baringo South,Ilchamus
Baringo South,Mochongoi
Baringo South,Mukutani
Mogotio,Mogotio
Mogotio,Emining
Mogotio,Kisanana
Eldama Ravine,Lembus
Eldama Ravine,Lembus Kwen
Eldama Ravine,Ravine
Eldama Ravine,Mumberes/Maji Mazuri
Eldama Ravine,Lembus/Perkerra
Eldama Ravine,Koibatek
Laikipia West,Ol-Moran
Laikipia West,Rumuruti Township
Laikipia West,Githiga
Laikipia West,Marmanet
Laikipia West,Igwamiti
Laikipia West,Salama
Laikipia East,Ngobit
Laikipia East,Tigithii
Laikipia East,Thingithu
Laikipia East,Nanyuki
Laikipia East,Umande
Laikipia North,Sosian
Laikipia North,Segera
Laikipia North,Mugogodo West
Laikipia North,Mugogodo East
Molo,Mariashoni
Molo,Elburgon
Molo,Turi
Molo,Molo
Njoro,Mau Narok
Njoro,Mauche
Njoro,Kihingo
Njoro,Nessuit
Njoro,Lare
Njoro,Njoro
Naivasha,Biashara
Naivasha,Hells Gate
Naivasha,Lake View
Naivasha,Mai Mahiu
Naivasha,Maiella
Naivasha,Olkaria
Naivasha,Naivasha East
Naivasha,Viwandani
Gilgil,Gilgil
Gilgil,Elementaita
Gilgil,Mbaruk/Eburu
Gilgil,Malewa West
Gilgil,Murindati
Kuresoi South,Amalo
Kuresoi South,Keringet
Kuresoi South,Kiptagich
Kuresoi South,Tinet
Kuresoi North,Kiptororo
Kuresoi North,Nyota
Kuresoi North,Sirikwa
Kuresoi North,Kamara
Subukia,Subukia
Subukia,Waseges
Subukia,Kabazi
Rongai,Menengai West
Rongai,Soin
Rongai,Visoi
Rongai,Mosop
Rongai,Solai
Bahati,Dundori
Bahati,Kabatini
Bahati,Kiamaina
Bahati,Lanet/Umoja
Bahati,Bahati
Nakuru Town West,Barut
Nakuru Town West,London
Nakuru Town West,Kaptembwo
Nakuru Town West,Kapkures
Nakuru Town West,Rhoda
Nakuru Town West,Shaabab
Nakuru Town East,Biashara
Nakuru Town East,Kivumbini
Nakuru Town East,Flamingo
Nakuru Town East,Menengai
Nakuru Town East,Nakuru East
Kilgoris,Kilgoris Central
Kilgoris,Keyian
Kilgoris,Angata Barikoi
Kilgoris,Shankoe
Kilgoris,Kimintet
Kilgoris,Lolgorian
Emurua Dikirr,Ilkerin
Emurua Dikirr,Ololmasani
Emurua Dikirr,Mogondo
Emurua Dikirr,Kapsasian
Narok North,Olpusimoru
Narok North,Olokurto
Narok North,Narok Town
Narok North,Nkareta
Narok North,Olorropil
Narok North,Melili
Narok East,Mosiro
